Type,Freq
",",2414
the,1630
”,1113
“,1111
.,977
and,863
to,728
a,628
it,592
she,552
i,539
of,512
said,462
!,448
you,409
alice,397
in,368
was,366
that,313
as,258
her,248
—,231
:,230
n’t,216
at,212
?,199
’s,199
on,193
;,192
had,185
all,180
with,180
but,167
for,153
so,152
they,152
be,146
not,146
very,144
-,141
what,141
do,140
this,134
little,128
he,124
out,117
is,109
one,104
down,102
up,100
there,99
if,96
would,96
his,95
about,94
then,93
no,90
have,88
know,87
them,87
could,86
were,86
like,85
herself,83
went,83
again,82
did,76
or,76
when,76
queen,75
thought,74
off,73
time,71
me,68
how,67
into,67
see,67
king,63
well,63
who,63
your,62
*,60
by,59
now,59
turtle,59
began,58
my,58
an,57
’m,57
hatter,56
its,56
mock,56
way,56
(,55
gryphon,55
quite,55
’ll,54
think,53
are,52
just,52
their,52
),51
first,51
much,51
say,51
some,51
go,50
head,50
here,50
only,50
rabbit,50
’,50
more,49
thing,49
which,49
never,47
voice,47
get,46
come,45
got,45
looked,45
mouse,44
must,44
oh,44
after,43
him,43
’ve,43
duchess,42
round,41
such,41
came,40
dormouse,40
other,40
over,40
tone,40
two,40
any,39
back,39
great,39
why,39
been,38
‘,38
’re,38
before,37
cat,37
from,36
can,35
march,34
nothing,34
once,34
we,34
large,33
last,33
found,32
long,32
looking,32
right,32
should,32
will,32
hare,31
moment,31
put,31
tell,31
things,31
door,30
heard,30
made,30
next,30
white,30
day,29
dear,29
look,29
replied,29
ca,28
caterpillar,28
eyes,28
might,28
three,28
’d,28
going,27
good,27
make,27
poor,27
seemed,27
too,26
upon,26
without,26
away,25
course,25
does,25
rather,25
shall,25
soon,25
yet,25
same,24
sure,24
than,24
wo,24
added,23
felt,23
half,23
took,23
while,23
another,22
ever,22
getting,22
jury,22
let,22
find,21
hand,21
minute,21
take,21
till,21
wish,21
words,21
anything,20
cried,20
however,20
sort,20
being,19
curious,19
feet,19
old,19
please,19
tea,19
tried,19
court,18
eat,18
end,18
enough,18
even,18
house,18
something,18
soup,18
table,18
use,18
wonder,18
asked,17
perhaps,17
question,17
sat,17
side,17
spoke,17
talking,17
bill,16
bit,16
garden,16
hastily,16
high,16
indeed,16
ran,16
turned,16
under,16
air,15
am,15
arm,15
because,15
called,15
done,15
face,15
gave,15
idea,15
knew,15
low,15
mad,15
near,15
saying,15
seen,15
speak,15
where,15
anxiously,14
baby,14
beginning,14
better,14
both,14
certainly,14
change,14
everything,14
footman,14
hear,14
itself,14
left,14
may,14
ought,14
remember,14
saw,14
sea,14
set,14
silence,14
suppose,14
these,14
through,14
trying,14
us,14
always,13
beautiful,13
begin,13
behind,13
cats,13
close,13
cook,13
dance,13
dodo,13
far,13
game,13
gone,13
grow,13
kept,13
people,13
really,13
room,13
size,13
still,13
suddenly,13
talk,13
used,13
whole,13
yes,13
afraid,12
among,12
best,12
chapter,12
deal,12
dinah,12
every,12
give,12
hands,12
hardly,12
life,12
majesty,12
many,12
pigeon,12
queer,12
try,12
turning,12
ask,11
book,11
child,11
else,11
finished,11
glad,11
gloves,11
growing,11
hurried,11
hurry,11
keep,11
makes,11
minutes,11
nearly,11
pig,11
pool,11
read,11
tears,11
thinking,11
though,11
turn,11
waited,11
whether,11
bottle,10
box,10
children,10
creatures,10
either,10
explain,10
fan,10
foot,10
glass,10
having,10
heads,10
lessons,10
mean,10
mind,10
mine,10
mouth,10
name,10
offended,10
opened,10
own,10
party,10
remark,10
remarked,10
repeated,10
rest,10
sight,10
sitting,10
small,10
soldiers,10
those,10
trial,10
walked,10
witness,10
word,10
yourself,10
against,9
angrily,9
answer,9
believe,9
birds,9
butter,9
call,9
coming,9
conversation,9
croquet,9
different,9
few,9
hall,9
help,9
hold,9
interrupted,9
join,9
key,9
knave,9
least,9
leave,9
matter,9
puzzled,9
rate,9
reason,9
serpent,9
shook,9
shouted,9
sister,9
tail,9
timidly,9
together,9
tree,9
waiting,9
want,9
appeared,8
asleep,8
beg,8
bright,8
changed,8
distance,8
each,8
eagerly,8
everybody,8
exactly,8
fact,8
feel,8
five,8
followed,8
four,8
gardeners,8
ground,8
happen,8
hard,8
has,8
hearts,8
live,8
lying,8
making,8
meaning,8
moral,8
most,8
mushroom,8
nobody,8
nose,8
noticed,8
opportunity,8
our,8
pepper,8
place,8
play,8
ready,8
running,8
seem,8
sit,8
slowly,8
story,8
top,8
twinkle,8
watch,8
whiting,8
william,8
window,8
work,8
adventures,7
begun,7
bread,7
business,7
cheshire,7
chin,7
continued,7
deep,7
draw,7
dream,7
drink,7
dry,7
evidence,7
eye,7
fall,7
fancy,7
feeling,7
fetch,7
fish,7
frightened,7
generally,7
goes,7
golden,7
